ID,Area,City,Restaurant,Price,Avg ratings,Food type,Latitude,Longitude,Geocode Precision
376424,Jadavpur,Kolkata,Fnf Food Centre,300,2.9,"Fast Food,Pastas,Combo",22.499,88.371,Locality (matched)
376436,Tagore Garden Extension,Delhi,Musafir By Imly,400,4,"Indian,Chinese,Italian",28.642,77.093,Locality (matched)
376466,Karve Nagar,Pune,Susha'S Cafe,400,2.9,"Fast Food,Pizzas,Beverages",18.49,73.8163,Locality (matched)
376487,Washermanpet,Chennai,Hotel Pandian,300,3.7,"Biryani,South Indian,Chinese,Seafood",13.114,80.282,Locality (matched)
376491,Kilpauk,Chennai,London Dessert Co,300,3.8,"Desserts,Beverages,Snacks",13.085,80.241,Locality (matched)
376615,Piplod,Surat,Enjoy,400,4.2,"North Indian,Punjabi,Chinese",21.166,72.777,Locality (matched)
376616,Piplod,Surat,Sizzling Salsa,400,4.5,"Mexican,Continental,Italian",21.166,72.777,Locality (matched)
376629,Andheri East,Mumbai,Chine Dine,350,3.7,"Chinese,Thai,North Indian,Biryani,South Indian,Maharashtrian,Snacks,Combo",19.1136,72.8697,Locality (matched)
376645,Koyambedu,Chennai,Firewood Briyani,350,2.9,"Biryani,Indian,Chinese,Tandoor",13.07,80.196,Locality (matched)
376664,Bhowanipore,Kolkata,Sharma Snacks Centre,300,4.4,Snacks  Fast Food  Desserts  Beverages,22.527,88.345,Locality (matched)
376665,Sarvodaya Colony,Hyderabad,The Mirchiesz,300,3.8,"Chinese,Biryani,Indian",17.385,78.4867,City-level (approximate fallback)
376683,Sion,Mumbai,Royal Falooda And Juice Centre,300,3.9,Continental  Beverages  Ice Cream,19.0448,72.8619,Locality (matched)
376701,Baguiati,Kolkata,Rajgharana,300,2.9,Indian  Chinese  South Indian  Bengali  Snacks,22.612,88.418,Locality (matched)
376908,Matunga Wadala,Mumbai,Shri Balaji Snacks Center,100,3.9,"Indian,Snacks",19.022,72.855,Locality (matched)
376913,Magarpatta,Pune,Malabar Food Centre,300,2.9,"North Indian,Indian",18.515,73.928,Locality (matched)
376914,Somajiguda & Khairtabad,Hyderabad,Theobroma,500,4.6,"Desserts,Bakery,Beverages",17.417,78.46,Locality (matched)
376952,South Kolkata,Kolkata,The Yellow Turtle,300,4.4,"Asian,Chinese,Continental",22.5,88.345,Locality (matched)
376990,Perambur,Chennai,Delight Cake Treat,400,2.9,"Bakery,Desserts",13.1155,80.234,Locality (matched)
